J603_1.RCP 60 [1, 2, 3, 4, 5, 15, 6, 24, 13, 16, 7, 14, 20, 21, 29, 23, 25, 11, 8, 30, 45, 17, 34, 28, 27, 26, 12, 39, 49, 31, 47, 33, 36, 32, 41, 40, 48, 35, 9, 43, 50, 51, 38, 10, 52, 44, 54, 18, 46, 19, 53, 37, 55, 22, 42, 58, 57, 59, 61, 56, 60, 62]
J603_10.RCP 69 [1, 2, 4, 5, 3, 11, 6, 32, 13, 19, 10, 7, 17, 20, 9, 15, 22, 12, 27, 24, 30, 16, 36, 14, 34, 18, 51, 28, 33, 29, 39, 25, 31, 38, 21, 52, 48, 45, 23, 42, 35, 47, 26, 46, 37, 49, 44, 50, 55, 40, 54, 58, 41, 43, 8, 61, 56, 53, 59, 57, 60, 62]
J603_2.RCP 69 [1, 4, 2, 3, 17, 5, 7, 15, 6, 19, 9, 18, 11, 16, 8, 31, 24, 35, 28, 32, 34, 38, 12, 21, 40, 33, 26, 30, 10, 47, 13, 42, 37, 22, 14, 44, 45, 54, 36, 48, 20, 39, 51, 27, 29, 23, 50, 25, 56, 41, 43, 57, 46, 58, 55, 53, 49, 52, 59, 60, 61, 62]
J603_3.RCP 105 [1, 4, 2, 3, 6, 5, 10, 30, 13, 20, 8, 28, 14, 38, 21, 7, 29, 26, 16, 39, 37, 17, 9, 11, 25, 15, 18, 35, 54, 44, 19, 23, 36, 24, 27, 34, 31, 50, 53, 33, 43, 22, 40, 41, 12, 60, 32, 49, 47, 51, 42, 45, 55, 52, 56, 46, 48, 61, 57, 58, 59, 62]
J603_4.RCP 81 [1, 4, 2, 3, 8, 6, 12, 16, 5, 7, 9, 11, 10, 18, 17, 25, 15, 28, 22, 14, 20, 35, 21, 38, 27, 31, 45, 24, 23, 36, 37, 29, 40, 39, 26, 46, 50, 43, 47, 19, 48, 52, 42, 51, 49, 33, 30, 41, 44, 13, 55, 32, 53, 57, 56, 34, 54, 58, 60, 59, 61, 62]
J603_5.RCP 83 [1, 4, 2, 3, 5, 16, 6, 11, 7, 13, 10, 24, 17, 22, 9, 15, 12, 8, 30, 19, 31, 43, 36, 21, 54, 23, 34, 32, 50, 38, 14, 18, 27, 46, 44, 42, 51, 41, 28, 20, 29, 37, 25, 53, 47, 40, 52, 45, 26, 55, 35, 57, 49, 58, 39, 48, 33, 56, 59, 61, 60, 62]
J603_6.RCP 57 [1, 3, 2, 4, 7, 9, 5, 8, 39, 6, 11, 13, 17, 10, 14, 18, 49, 41, 23, 12, 16, 15, 26, 21, 22, 37, 46, 30, 19, 42, 29, 25, 45, 52, 32, 55, 33, 20, 51, 34, 48, 44, 28, 31, 38, 56, 50, 24, 35, 54, 40, 57, 27, 47, 53, 36, 58, 43, 61, 59, 60, 62]
J603_7.RCP 59 [1, 2, 3, 5, 50, 6, 9, 7, 8, 4, 20, 29, 14, 17, 23, 21, 12, 11, 19, 15, 16, 34, 24, 33, 31, 26, 55, 25, 37, 35, 32, 22, 18, 28, 13, 45, 57, 38, 39, 36, 46, 42, 44, 49, 10, 52, 41, 43, 51, 47, 30, 54, 56, 48, 53, 27, 58, 59, 40, 60, 61, 62]
J603_8.RCP 56 [1, 4, 3, 12, 7, 22, 5, 11, 25, 9, 2, 15, 21, 6, 19, 17, 8, 28, 18, 13, 20, 14, 37, 24, 40, 29, 32, 31, 36, 10, 41, 26, 23, 51, 44, 16, 39, 33, 35, 30, 55, 45, 43, 34, 46, 53, 52, 48, 27, 54, 42, 47, 56, 38, 57, 58, 49, 59, 50, 61, 60, 62]
J603_9.RCP 67 [1, 3, 2, 4, 5, 6, 14, 12, 7, 16, 13, 28, 21, 8, 15, 11, 10, 19, 39, 40, 17, 18, 31, 26, 9, 41, 29, 32, 33, 27, 24, 30, 37, 22, 34, 35, 36, 38, 48, 25, 50, 23, 53, 47, 42, 61, 44, 55, 43, 51, 45, 20, 52, 54, 56, 46, 57, 49, 60, 58, 59, 62]
