J304_9.RCP 38 [1, 4, 2, 3, 8, 6, 18, 5, 12, 16, 15, 10, 23, 24, 13, 7, 14, 9, 21, 19, 20, 11, 17, 25, 26, 27, 28, 22, 30, 29, 31, 32]
J304_10.RCP 48 [1, 4, 2, 7, 3, 17, 10, 18, 8, 5, 26, 9, 13, 6, 16, 11, 19, 14, 21, 12, 25, 23, 22, 20, 15, 27, 24, 29, 28, 31, 30, 32]
J305_1.RCP 53 [1, 4, 3, 6, 5, 8, 2, 19, 16, 10, 11, 7, 12, 13, 21, 15, 22, 14, 25, 9, 23, 20, 17, 24, 26, 18, 28, 27, 30, 31, 29, 32]
J305_2.RCP 83 [1, 2, 11, 3, 4, 8, 5, 9, 20, 6, 21, 10, 12, 7, 15, 13, 18, 14, 16, 30, 17, 19, 25, 22, 23, 27, 24, 28, 31, 26, 29, 32]
J305_3.RCP 76 [1, 3, 4, 2, 5, 6, 7, 18, 15, 10, 13, 8, 9, 11, 16, 26, 22, 12, 20, 27, 19, 14, 17, 23, 21, 29, 24, 25, 30, 28, 31, 32]
J305_4.RCP 63 [1, 2, 3, 12, 4, 7, 10, 5, 9, 6, 14, 17, 13, 11, 8, 19, 23, 16, 21, 22, 20, 29, 15, 28, 25, 27, 18, 24, 26, 30, 31, 32]
J305_5.RCP 76 [1, 2, 3, 4, 6, 5, 10, 22, 9, 8, 17, 16, 7, 12, 15, 11, 20, 19, 21, 23, 13, 18, 31, 24, 26, 14, 25, 29, 27, 28, 30, 32]
J305_6.RCP 64 [1, 3, 4, 10, 2, 5, 16, 13, 6, 8, 11, 18, 12, 7, 19, 15, 9, 21, 20, 14, 25, 17, 26, 22, 24, 27, 28, 23, 31, 30, 29, 32]
J305_7.RCP 76 [1, 3, 4, 2, 15, 12, 5, 16, 11, 24, 9, 18, 7, 6, 25, 10, 17, 20, 14, 19, 28, 27, 8, 22, 13, 26, 23, 30, 21, 31, 29, 32]
J305_8.RCP 67 [1, 4, 3, 8, 7, 5, 9, 10, 6, 11, 12, 2, 13, 14, 18, 19, 15, 16, 20, 25, 21, 17, 26, 22, 24, 27, 28, 23, 31, 29, 30, 32]
J305_9.RCP 49 [1, 2, 3, 4, 9, 5, 14, 12, 15, 7, 22, 6, 23, 16, 20, 25, 10, 21, 8, 24, 19, 18, 30, 11, 26, 29, 17, 13, 28, 27, 31, 32]
